Country,Region,year,index,value
ES,Extremadura,2016-01-01,Primary,3384.7709999999997
ES,Extremadura,2017-01-01,Primary,3806.003
ES,Extremadura,2018-01-01,Primary,3907.2380000000003
ES,Extremadura,2019-01-01,Primary,3695.339
ES,Extremadura,2020-01-01,Primary,3242.0150000000003
ES,Extremadura,2021-01-01,Primary,4156.353
ES,Extremadura,2022-01-01,Primary,4421.442
ES,Extremadura,2023-01-01,Primary,4444.09
ES,Extremadura,2024-01-01,Primary,4749.813
ES,Galicia,2015-01-01,Primary,5377.915
ES,Galicia,2016-01-01,Primary,5302.851999999999
ES,Galicia,2017-01-01,Primary,5291.555
ES,Galicia,2018-01-01,Primary,5336.009999999999
ES,Galicia,2019-01-01,Primary,5409.102000000001
ES,Galicia,2020-01-01,Primary,4883.428000000001
ES,Galicia,2021-01-01,Primary,5521.436000000001
ES,Galicia,2022-01-01,Primary,6776.967999999999
ES,Galicia,2023-01-01,Primary,7035.843
ES,Galicia,2024-01-01,Primary,7342.9039999999995
ES,Illes Balears,2015-01-01,Primary,903.5360000000001
ES,Illes Balears,2016-01-01,Primary,950.3729999999998
ES,Illes Balears,2017-01-01,Primary,970.5840000000001
ES,Illes Balears,2018-01-01,Primary,945.766
ES,Illes Balears,2019-01-01,Primary,972.1450000000001
ES,Illes Balears,2020-01-01,Primary,938.51
ES,Illes Balears,2021-01-01,Primary,1027.81
ES,Illes Balears,2022-01-01,Primary,1659.472
ES,Illes Balears,2023-01-01,Primary,1315.7780000000002
ES,Illes Balears,2024-01-01,Primary,1294.955
ES,La Rioja,2015-01-01,Primary,786.4590000000001
ES,La Rioja,2016-01-01,Primary,636.3949999999998
ES,La Rioja,2017-01-01,Primary,752.4319999999998
ES,La Rioja,2018-01-01,Primary,869.705
ES,La Rioja,2019-01-01,Primary,832.4609999999998
ES,La Rioja,2020-01-01,Primary,808.0649999999999
ES,La Rioja,2021-01-01,Primary,858.0839999999997
ES,La Rioja,2022-01-01,Primary,1201.281
ES,La Rioja,2023-01-01,Primary,954.8130000000001
ES,La Rioja,2024-01-01,Primary,973.2989999999996
ES,País Vasco/Euskadi,2015-01-01,Primary,2314.422000000001
ES,País Vasco/Euskadi,2016-01-01,Primary,2210.4490000000005
ES,País Vasco/Euskadi,2017-01-01,Primary,2132.924999999999
ES,País Vasco/Euskadi,2018-01-01,Primary,2219.5460000000003
ES,País Vasco/Euskadi,2019-01-01,Primary,2364.3989999999994
ES,País Vasco/Euskadi,2020-01-01,Primary,2301.5499999999993
ES,País Vasco/Euskadi,2021-01-01,Primary,2322.8370000000014
ES,País Vasco/Euskadi,2022-01-01,Primary,2987.433000000002
ES,País Vasco/Euskadi,2023-01-01,Primary,2814.821
ES,País Vasco/Euskadi,2024-01-01,Primary,2874.347
ES,Principado de Asturias,2015-01-01,Primary,1340.652
ES,Principado de Asturias,2016-01-01,Primary,1317.875
ES,Principado de Asturias,2017-01-01,Primary,1290.7349999999997
ES,Principado de Asturias,2018-01-01,Primary,1378.962
ES,Principado de Asturias,2019-01-01,Primary,1440.5879999999997
ES,Principado de Asturias,2020-01-01,Primary,1357.154
ES,Principado de Asturias,2021-01-01,Primary,1523.9009999999996
ES,Principado de Asturias,2022-01-01,Primary,2684.465
ES,Principado de Asturias,2023-01-01,Primary,2183.2349999999997
ES,Principado de Asturias,2024-01-01,Primary,2063.386
ES,Región de Murcia,2015-01-01,Primary,3241.6220000000003
ES,Región de Murcia,2016-01-01,Primary,3303.223
ES,Región de Murcia,2017-01-01,Primary,3389.192
ES,Región de Murcia,2018-01-01,Primary,3323.334
ES,Región de Murcia,2019-01-01,Primary,3536.763
ES,Región de Murcia,2020-01-01,Primary,3274.347
ES,Región de Murcia,2021-01-01,Primary,3598.7379999999994
ES,Región de Murcia,2022-01-01,Primary,3912.1319999999996
ES,Región de Murcia,2023-01-01,Primary,4151.192
ES,Región de Murcia,2024-01-01,Primary,4289.246999999999
IT,Abruzzo,2015-01-01,Secundary,7390.7
IT,Abruzzo,2016-01-01,Secundary,7535.0
IT,Abruzzo,2017-01-01,Secundary,7620.1
IT,Abruzzo,2018-01-01,Secundary,7490.1
IT,Abruzzo,2019-01-01,Secundary,7775.1
IT,Abruzzo,2020-01-01,Secundary,6831.099999999999
IT,Abruzzo,2021-01-01,Secundary,7677.9
IT,Abruzzo,2022-01-01,Secundary,8367.1
IT,Abruzzo,2023-01-01,Secundary,8988.3
IT,Basilicata,2015-01-01,Secundary,2645.3
IT,Basilicata,2016-01-01,Secundary,2707.9
IT,Basilicata,2017-01-01,Secundary,2601.5
IT,Basilicata,2018-01-01,Secundary,2718.4
IT,Basilicata,2019-01-01,Secundary,2605.9
IT,Basilicata,2020-01-01,Secundary,2093.9
IT,Basilicata,2021-01-01,Secundary,2448.8999999999996
IT,Basilicata,2022-01-01,Secundary,2893.7
IT,Basilicata,2023-01-01,Secundary,3024.9
IT,Calabria,2015-01-01,Secundary,3599.6000000000004
IT,Calabria,2016-01-01,Secundary,3489.0
IT,Calabria,2017-01-01,Secundary,3446.5
IT,Calabria,2018-01-01,Secundary,3446.8999999999996
IT,Calabria,2019-01-01,Secundary,3366.3
IT,Calabria,2020-01-01,Secundary,3038.4
IT,Calabria,2021-01-01,Secundary,3711.0
IT,Calabria,2022-01-01,Secundary,3920.6000000000004
IT,Calabria,2023-01-01,Secundary,4201.8
IT,Campania,2015-01-01,Secundary,16982.9
IT,Campania,2016-01-01,Secundary,17567.0
IT,Campania,2017-01-01,Secundary,17878.800000000003
IT,Campania,2018-01-01,Secundary,18190.0
IT,Campania,2019-01-01,Secundary,18520.3
IT,Campania,2020-01-01,Secundary,16620.9
IT,Campania,2021-01-01,Secundary,19053.0
IT,Campania,2022-01-01,Secundary,20045.0
IT,Campania,2023-01-01,Secundary,21994.4
IT,Emilia-Romagna,2015-01-01,Secundary,41994.9
IT,Emilia-Romagna,2016-01-01,Secundary,43444.4
IT,Emilia-Romagna,2017-01-01,Secundary,45370.5
IT,Emilia-Romagna,2018-01-01,Secundary,46768.100000000006
IT,Emilia-Romagna,2019-01-01,Secundary,46895.0
IT,Emilia-Romagna,2020-01-01,Secundary,42139.299999999996
IT,Emilia-Romagna,2021-01-01,Secundary,50087.8
IT,Emilia-Romagna,2022-01-01,Secundary,51121.4
IT,Emilia-Romagna,2023-01-01,Secundary,51883.5
IT,Friuli-Venezia Giulia,2015-01-01,Secundary,9061.8
IT,Friuli-Venezia Giulia,2016-01-01,Secundary,9211.8
IT,Friuli-Venezia Giulia,2017-01-01,Secundary,9439.199999999999
IT,Friuli-Venezia Giulia,2018-01-01,Secundary,9977.6
IT,Friuli-Venezia Giulia,2019-01-01,Secundary,10214.3
IT,Friuli-Venezia Giulia,2020-01-01,Secundary,9045.9
IT,Friuli-Venezia Giulia,2021-01-01,Secundary,10509.6
IT,Friuli-Venezia Giulia,2022-01-01,Secundary,10620.8
IT,Friuli-Venezia Giulia,2023-01-01,Secundary,10331.7
IT,Lazio,2015-01-01,Secundary,25999.9
IT,Lazio,2016-01-01,Secundary,27604.199999999997
IT,Lazio,2017-01-01,Secundary,27520.6
IT,Lazio,2018-01-01,Secundary,27326.300000000003
IT,Lazio,2019-01-01,Secundary,28070.6
IT,Lazio,2020-01-01,Secundary,25441.5
IT,Lazio,2021-01-01,Secundary,26245.3
IT,Lazio,2022-01-01,Secundary,29804.9
IT,Lazio,2023-01-01,Secundary,28440.8
IT,Liguria,2015-01-01,Secundary,8477.400000000001
IT,Liguria,2016-01-01,Secundary,8426.6
IT,Liguria,2017-01-01,Secundary,8828.0
IT,Liguria,2018-01-01,Secundary,8693.7
IT,Liguria,2019-01-01,Secundary,9322.0
IT,Liguria,2020-01-01,Secundary,8653.5
IT,Liguria,2021-01-01,Secundary,9866.5
IT,Liguria,2022-01-01,Secundary,9030.5
